"","model","method","parm_names","parm_values","eps","ss"
"98","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",5.9100820593672,36.69279646234,100
"99","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,36.69279646234,100
"100","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7072,36.69279646234,100
"101","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.583680533747851,36.69279646234,100
"102","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.3437,36.69279646234,100
"103","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",599.477475450232,36.69279646234,100
"104","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",217.671726286713,36.69279646234,100
"105","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.377000045318933,36.69279646234,100
"106","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.72813802749695,36.69279646234,100
"107","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,36.69279646234,100
"108","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.6864,36.69279646234,100
"109","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.496562636784001,36.69279646234,100
"110","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.3834,36.69279646234,100
"111","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",503.891234004283,36.69279646234,100
"112","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",184.187582403187,36.69279646234,100
"113","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.305638055399954,37.8763841984995,200
"114","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",6.00008765754241,37.8763841984995,200
"115","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,37.8763841984995,200
"116","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.7291,37.8763841984995,200
"117","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.588105029905112,37.8763841984995,200
"118","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.2963,37.8763841984995,200
"119","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",663.726993612922,37.8763841984995,200
"120","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",214.388068748949,37.8763841984995,200
"121","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.335348598266209,37.8763841984995,200
"122","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",5.83351866029351,37.8763841984995,200
"123","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,37.8763841984995,200
"124","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.7191,37.8763841984995,200
"125","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.518150391525486,37.8763841984995,200
"126","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.3383,37.8763841984995,200
"127","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",567.917987789184,37.8763841984995,200
"128","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",192.426104056137,37.8763841984995,200
"129","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.176494807906543,22.0983322065431,25
"130","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",6.48093055186299,22.0983322065431,25
"131","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,22.0983322065431,25
"132","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.8367,22.0983322065431,25
"133","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.540101396705353,22.0983322065431,25
"134","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.1744,22.0983322065431,25
"135","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",1058.42574545813,22.0983322065431,25
"136","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Total_Claim_Amount",191.638327437943,22.0983322065431,25
"137","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","lambda",0.202078296531352,22.0983322065431,25
"138","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","mu",6.34416155967217,22.0983322065431,25
"139","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","sigma",1,22.0983322065431,25
"140","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Prob_0",0.8152,22.0983322065431,25
"141","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","LR",0.541809768092987,22.0983322065431,25
"142","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Frequency",0.2009,22.0983322065431,25
"143","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Claim_Amount",942.444638372501,22.0983322065431,25
"144","Lognormal(mu, sigma = 1)-Poisson(lambda)","mode","Total_Claim_Amount",193.499663609857,22.0983322065431,25
"145","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","lambda",0.203697332841169,27.5768515766232,50
"146","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","mu",6.36849597557547,27.5768515766232,50
"147","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","sigma",1,27.5768515766232,50
"148","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Prob_0",0.8213,27.5768515766232,50
"149","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","LR",0.534923913880317,27.5768515766232,50
"150","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Frequency",0.2154,27.5768515766232,50
"151","Lognormal(mu, sigma = 1)-Poisson(lambda)","map","Claim_Amount",937.771369295012,27.5768515766232,50
